unit_id,notif_type,comment
100101,1,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100101,2,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100101,3,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100101,4,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100101,5,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100101,6,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100201,1,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100201,2,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100201,3,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100201,4,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100201,5,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100201,6,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100301,1,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100301,2,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100301,3,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100301,4,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100301,5,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100301,6,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100401,1,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100401,2,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100401,3,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100401,4,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100401,5,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100401,6,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100501,1,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100501,2,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100501,3,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100501,4,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100501,5,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100501,6,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100601,1,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100601,2,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100601,3,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100601,4,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100601,5,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100601,6,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100701,1,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100701,2,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100701,3,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100701,4,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100701,5,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100701,6,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100801,1,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100801,2,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100801,3,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100801,4,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100801,5,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100801,6,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100901,1,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
100901,2,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
100901,3,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
100901,4,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
100901,5,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
100901,6,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
101001,1,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101001,2,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101001,3,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101001,4,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101001,5,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101001,6,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101101,1,"ギルドハウスで受け取れるアイテムがいっぱい！このままだと、宝のお餅が腐っちゃいますよ！"
101101,2,"ギルドハウスで受け取れるアイテムがいっぱい！このままだと、宝のお餅が腐っちゃいますよ！"
101101,3,"ギルドハウスで受け取れるアイテムがいっぱい！このままだと、宝のお餅が腐っちゃいますよ！"
101101,4,"ギルドハウスで受け取れるアイテムがいっぱい！このままだと、宝のお餅が腐っちゃいますよ！"
101101,5,"ギルドハウスで受け取れるアイテムがいっぱい！このままだと、宝のお餅が腐っちゃいますよ！"
101101,6,"ギルドハウスで受け取れるアイテムがいっぱい！このままだと、宝のお餅が腐っちゃいますよ！"
101201,1,"スヤスヤ…ギルドハウスのアイテム…ぜんぶ…いっぱい…ぐぅ"
101201,2,"スヤスヤ…ギルドハウスのアイテム…ぜんぶ…いっぱい…ぐぅ"
101201,3,"スヤスヤ…ギルドハウスのアイテム…ぜんぶ…いっぱい…ぐぅ"
101201,4,"スヤスヤ…ギルドハウスのアイテム…ぜんぶ…いっぱい…ぐぅ"
101201,5,"スヤスヤ…ギルドハウスのアイテム…ぜんぶ…いっぱい…ぐぅ"
101201,6,"スヤスヤ…ギルドハウスのアイテム…ぜんぶ…いっぱい…ぐぅ"
101301,1,"ギルドハウスで貰えるアイテムがいっぱいだってさ！アイテムはよ！はよ受け取ってクレメンス！"
101301,2,"ギルドハウスで貰えるアイテムがいっぱいだってさ！アイテムはよ！はよ受け取ってクレメンス！"
101301,3,"ギルドハウスで貰えるアイテムがいっぱいだってさ！アイテムはよ！はよ受け取ってクレメンス！"
101301,4,"ギルドハウスで貰えるアイテムがいっぱいだってさ！アイテムはよ！はよ受け取ってクレメンス！"
101301,5,"ギルドハウスで貰えるアイテムがいっぱいだってさ！アイテムはよ！はよ受け取ってクレメンス！"
101301,6,"ギルドハウスで貰えるアイテムがいっぱいだってさ！アイテムはよ！はよ受け取ってクレメンス！"
101401,1,"ギルドハウスで受け取れるアイテムが、すべていっぱいになったみたいだよ。これで推理が捗るね！"
101401,2,"ギルドハウスで受け取れるアイテムが、すべていっぱいになったみたいだよ。これで推理が捗るね！"
101401,3,"ギルドハウスで受け取れるアイテムが、すべていっぱいになったみたいだよ。これで推理が捗るね！"
101401,4,"ギルドハウスで受け取れるアイテムが、すべていっぱいになったみたいだよ。これで推理が捗るね！"
101401,5,"ギルドハウスで受け取れるアイテムが、すべていっぱいになったみたいだよ。これで推理が捗るね！"
101401,6,"ギルドハウスで受け取れるアイテムが、すべていっぱいになったみたいだよ。これで推理が捗るね！"
101501,1,"ギルドハウスで受け取れるアイテムがぜーんぶ貯まったみたいね～。忘れずに回収しましょうね～"
101501,2,"ギルドハウスで受け取れるアイテムがぜーんぶ貯まったみたいね～。忘れずに回収しましょうね～"
101501,3,"ギルドハウスで受け取れるアイテムがぜーんぶ貯まったみたいね～。忘れずに回収しましょうね～"
101501,4,"ギルドハウスで受け取れるアイテムがぜーんぶ貯まったみたいね～。忘れずに回収しましょうね～"
101501,5,"ギルドハウスで受け取れるアイテムがぜーんぶ貯まったみたいね～。忘れずに回収しましょうね～"
101501,6,"ギルドハウスで受け取れるアイテムがぜーんぶ貯まったみたいね～。忘れずに回収しましょうね～"
101601,1,"ギルドハウスで受け取れるアイテムが、全部いっぱいだよ！さー！派手にアゲて、冒険しちゃおうよ！"
101601,2,"ギルドハウスで受け取れるアイテムが、全部いっぱいだよ！さー！派手にアゲて、冒険しちゃおうよ！"
101601,3,"ギルドハウスで受け取れるアイテムが、全部いっぱいだよ！さー！派手にアゲて、冒険しちゃおうよ！"
101601,4,"ギルドハウスで受け取れるアイテムが、全部いっぱいだよ！さー！派手にアゲて、冒険しちゃおうよ！"
101601,5,"ギルドハウスで受け取れるアイテムが、全部いっぱいだよ！さー！派手にアゲて、冒険しちゃおうよ！"
101601,6,"ギルドハウスで受け取れるアイテムが、全部いっぱいだよ！さー！派手にアゲて、冒険しちゃおうよ！"
101701,1,"ギルドハウスで受け取れるアイテムが、すべていっぱいさ～。受け取るの手伝うよ～？"
101701,2,"ギルドハウスで受け取れるアイテムが、すべていっぱいさ～。受け取るの手伝うよ～？"
101701,3,"ギルドハウスで受け取れるアイテムが、すべていっぱいさ～。受け取るの手伝うよ～？"
101701,4,"ギルドハウスで受け取れるアイテムが、すべていっぱいさ～。受け取るの手伝うよ～？"
101701,5,"ギルドハウスで受け取れるアイテムが、すべていっぱいさ～。受け取るの手伝うよ～？"
101701,6,"ギルドハウスで受け取れるアイテムが、すべていっぱいさ～。受け取るの手伝うよ～？"
101801,1,"ギルドハウスで受け取れるアイテムが、全部いっぱいよ。万全な状態で、お勉強がんばりましょう♪"
